"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
3.3,90.0000000000002,-180,-70.9463461885912,-68.9061234453694
3.3,90.0000000000002,-170,-74.8458004056127,-16.9458612817311
3.3,90.0000000000002,-160,-75.4338852276434,-11.1640047849937
3.3,90.0000000000002,-150,-71.9977527248383,-8.0275626969017
3.3,90.0000000000002,-140,-68.9417510547268,-6.02537494868676
3.3,90.0000000000002,-130,-66.7367284301954,-4.6573014340532
3.3,90.0000000000002,-120,-65.1232590988275,-3.68217500152984
3.3,90.0000000000002,-110,-63.9005066931187,-2.96667049025259
3.3,90.0000000000002,-100,-62.9392690133655,-2.44176403200745
3.3,90.0000000000002,-90,-62.155177137937,-2.08527918553917
3.3,90.0000000000002,-80,-61.489364663658,-1.91009457192806
3.3,90.0000000000002,-70,-60.8975133104988,-1.95473873879078
3.3,90.0000000000002,-60,-60.3479902183567,-2.27877455768752
3.3,90.0000000000002,-50,-59.8263411380809,-2.96655669847566
3.3,90.0000000000002,-40,-59.3389824867476,-4.14530364998939
3.3,90.0000000000002,-30,-58.9101830547929,-6.03580648440632
3.3,90.0000000000002,-20,-58.5727975611789,-9.11207265090147
3.3,90.0000000000002,-10,-58.3571717552309,-14.8549400285306
3.3,90.0000000000002,0,-58.2811456954417,-68.7891332464919
3.3,90.0000000000002,10,-58.3415591096197,-14.8909510113409
3.3,90.0000000000002,20,-58.5080350523269,-9.13245330897976
3.3,90.0000000000002,30,-58.7231544072644,-6.05129502993922
3.3,90.0000000000002,40,-58.9164437205444,-4.15770562105537
3.3,90.0000000000002,50,-59.0348954396779,-2.97561938093819
3.3,90.0000000000002,60,-59.0740448584723,-2.283459667732
3.3,90.0000000000002,70,-59.0813350893179,-1.95378354525909
3.3,90.0000000000002,80,-59.1269951595767,-1.90243291493791
3.3,90.0000000000002,90,-59.2699214957475,-2.07039376419996
3.3,90.0000000000002,100,-59.5428931783514,-2.41993638402853
3.3,90.0000000000002,110,-59.9588842742021,-2.93906281583568
3.3,90.0000000000002,120,-60.5283592206844,-3.65067759195641
3.3,90.0000000000002,130,-61.2771066548438,-4.62412896759038
3.3,90.0000000000002,140,-62.2582448136383,-5.99247168275544
3.3,90.0000000000002,150,-63.5584532864526,-7.99584508621078
3.3,90.0000000000002,160,-65.3053588791452,-11.1319240880143
3.3,90.0000000000002,170,-67.6855152982903,-16.9020546421094
3.3,90.0000000000002,180,-70.9463461885912,-68.9061234453694
