"Freq [GHz]","Theta [deg]","Phi [deg]","dB(GainPhi) []","dB(GainTheta) []"
3.3,-90.0000000000002,0,-64.3102459730965,-2.0883513023261
3.3,-90.0000000000002,10,-30.2597138085981,-2.0894650155886
3.3,-90.0000000000002,20,-24.8366236120178,-2.08994343105251
3.3,-90.0000000000002,30,-22.2562104988675,-2.08978834624439
3.3,-90.0000000000002,40,-21.1369562601449,-2.089122777549
3.3,-90.0000000000002,50,-21.1296473148578,-2.08815929472223
3.3,-90.0000000000002,60,-22.2333608518389,-2.08713701304425
3.3,-90.0000000000002,70,-24.794144953073,-2.08625533412485
3.3,-90.0000000000002,80,-30.179299528857,-2.08562952930401
3.3,-90.0000000000002,90,-62.1551771379308,-2.08527918553917
3.3,-90.0000000000002,100,-30.5783049414114,-2.08514561228526
3.3,-90.0000000000002,110,-24.9912271040746,-2.08512483337136
3.3,-90.0000000000002,120,-22.3624653339505,-2.08510020973352
3.3,-90.0000000000002,130,-21.2250939032094,-2.08496254604492
3.3,-90.0000000000002,140,-21.214343375714,-2.084614447992
3.3,-90.0000000000002,150,-22.3277270753397,-2.08396637122729
3.3,-90.0000000000002,160,-24.9214756190053,-2.08293825629243
3.3,-90.0000000000002,170,-30.4245371122569,-2.0814772894771
3.3,-90.0000000000002,180,-71.1009049879315,-2.07958933684899
3.3,-90.0000000000002,190,-30.2963374693745,-2.07736726114564
3.3,-90.0000000000002,200,-24.8299514439923,-2.07499514349485
3.3,-90.0000000000002,210,-22.235090546642,-2.07271842645708
3.3,-90.0000000000002,220,-21.1086563019867,-2.07078920571998
3.3,-90.0000000000002,230,-21.0962566919409,-2.06940951416802
3.3,-90.0000000000002,240,-22.1936056237944,-2.06869456877475
3.3,-90.0000000000002,250,-24.7408735248725,-2.06866538525634
3.3,-90.0000000000002,260,-30.0803849472545,-2.06926608674925
3.3,-90.0000000000002,270,-59.2699214957427,-2.07039376419996
3.3,-90.0000000000002,280,-30.6992138708926,-2.07192904326735
3.3,-90.0000000000002,290,-25.0625486120158,-2.07375982438153
3.3,-90.0000000000002,300,-22.4219630758338,-2.07579484034744
3.3,-90.0000000000002,310,-21.2827835062006,-2.07796587351787
3.3,-90.0000000000002,320,-21.2754172477874,-2.08021841984919
3.3,-90.0000000000002,330,-22.3969684236235,-2.08249246319937
3.3,-90.0000000000002,340,-25.0070683959504,-2.08469951758672
3.3,-90.0000000000002,350,-30.5557690627964,-2.08670801355188
3.3,-90.0000000000002,360,-64.3102459730965,-2.0883513023261
