"Freq [GHz]","dB(S(1,1)) []"
2.5,-1.67619576997874
2.52,-1.76764755294109
2.54,-1.86501474354117
2.56,-1.96874388611229
2.58,-2.07931939226027
2.6,-2.19726710837456
2.62,-2.32315828087955
2.64,-2.45761398102799
2.66,-2.60131006544375
2.68,-2.75498276730904
2.7,-2.91943503745472
2.72,-3.09554378652115
2.74,-3.28426822133555
2.76,-3.48665952413158
2.78,-3.70387219692405
2.8,-3.93717749176286
2.82,-4.18797947985562
2.84,-4.45783449162837
2.86,-4.7484749043556
2.88,-5.06183859135838
2.9,-5.40010581763048
2.92,-5.76574603285012
2.94,-6.16157796963698
2.96,-6.59084785378148
2.98,-7.05733261870255
3,-7.56547819486271
3.02,-8.12058790993129
3.04,-8.72908400872015
3.06,-9.39887851103657
3.08,-10.139912297369
3.1,-10.9649618397148
3.12,-11.8908889479551
3.14,-12.9406594233372
3.16,-14.1467755389678
3.18,-15.5575017093643
3.2,-17.2491399594475
3.22,-19.3531178965922
3.24,-22.1262053979039
3.26,-26.1849801363294
3.28,-33.7547565150813
3.3,-38.7356638835428
3.32,-28.2642178255095
3.34,-23.5398472754827
3.36,-20.526818444088
3.38,-18.3280982725949
3.4,-16.6071282718679
3.42,-15.2011526781654
3.44,-14.0189858121941
3.46,-13.004330305114
3.48,-12.1199344535505
3.5,-11.3398296364311
3.52,-10.6451599385696
3.54,-10.0217781402557
3.56,-9.4587804384938
3.58,-8.94757190100859
3.6,-8.48124753305249
3.62,-8.05416909826193
3.64,-7.66166775673795
3.66,-7.29983008098027
3.68,-6.965340813091
3.7,-6.65536514756824
3.72,-6.36745912275371
3.74,-6.09950037503392
3.76,-5.8496338925992
3.78,-5.61622898686278
3.8,-5.39784477025797
3.82,-5.1932021671815
3.84,-5.00116100204482
3.86,-4.82070107627701
3.88,-4.65090641141449
3.9,-4.49095202915595
3.92,-4.34009278242082
3.94,-4.19765385839409
3.96,-4.06302265525068
3.98,-3.93564179575233
4,-3.81500308819831
